Title,Cluster
Case Study Hippo Plan-T for Hippo Baked Munchies by Creativeland Asia,4
Television & Cinema India Ka Tadka for Dhara by DDB Mudra Group,1
Television Flavours Without Borders for Hippo World Toasties by Creativeland Asia,1
Television Munch for NestlÃ© by J. Walter Thompson Delhi,4
Television Maximum for Horlicks Nutribic by J. Walter Thompson Delhi,4
Television Fortune Oil - Grandmother for Fortune Oil by Ogilvy India - The entire film is set in a hospital. An old lady with a tiffin box climbs up the st,3
Case Study Health Cha Shree Ganesh for Nutralite by DDB Mudra,4
Social Media Neighbours for Maggi,4
Social Media Mom for Maggi,4
Social Media Menu Cards for Maggi,4
Web Film Gamers Box 2.0 for KFC by Blink Digital,4
"Television & Cinema Noon Assembly for Kwality Milk by McCann, Health",4
Television & Cinema Bolti Bandh for Britannia Chutney Bread by Lowe Lintas India - It leaves you speechless,4
Television & Cinema Name on Rice for S-Mart by MullenLowe Lintas Group,4
Television Indian Restaurant for Ninemsn by Havas Partnership,1
Newspaper Scooty Safe for TVS Scooty by Ogilvy Bangalore,1
Newspaper Scooty Shocks for TVS Scooty by Ogilvy Bangalore,1
Newspaper Scooty Space for TVS Scooty by Ogilvy Bangalore,1
Outdoor/Out of Home For Enhaced Vigour & Vitality for Onergy.Ceiling by SSC&B,3
Print Tiger Bones Don't Give You a Bigger Boner for Tiger Action Network by Concept Communication Ltd,0
Print Bar Code for Strand Book Store by SSC&B,0
Print Bar Code -- Open Book for Strand Book Stall by SSC&B,0
Print Don't Drink & Drive for Society for Alcohol Related Social Policy Init. by SSC&B,3
Newspaper Vagina for Child Abuse by Ogilvy India,1
Newspaper Babysitter for Child Abuse by Ogilvy India,1
Newspaper Father for Child Abuse by Ogilvy India,0
Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,0
Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,0
Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,0
Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,0
Print Elderly - PSA for The Indian Express by Mudra Communications Pvt. Ltd.,3
Newspaper Che for Luxor by Leo Burnett India,1
Newspaper Charlie for Luxor by Leo Burnett India,0
Newspaper Adolf for Luxor by Leo Burnett India,0
"Newspaper ... pre-meditated murders, every day for Stop Female Foeticide by Mode Advertising & Marketing Pvt. Ltd.",2
Television Traffic for Nike Cricket by  Wunderman Thompson South Asia,4
Print Twins for Reynolds Wrap by  Wunderman Thompson South Asia,0
Print Debate 1 for Lifetime Prepaid Card by Ogilvy India,1
Print Debate 2 for Lifetime Prepaid Card by Ogilvy India,1
Print Debate 3 for Lifetime Prepaid Card by Ogilvy India,1
Print Afterlife for Apollo Hospitals by Ogilvy Bangalore,0
Print Reincarnation for Apollo Hospitals by Ogilvy Bangalore,0
Print Spirits for Apollo Hospitals by Ogilvy Bangalore,0
Television & Cinema Help me read this for Children of the World by J. Walter Thompson Delhi,1
Case Study Help me read this 2 for Children of the World by J. Walter Thompson Delhi,4
"Television Rewind (French) for Orange TV by Publicis Conseil - In a city teeming with life, somewhere in India, a girl stands crying at a bus stop. A taxi...",2
"Television Rewind for Orange TV by Publicis Conseil - In a city teeming with life, somewhere in India, a girl stands crying at a bus stop. A taxi driver no...",2
Television & Cinema Gas for Neo Sports by Ogilvy India - Get used to tension. India vs Pakistan,3
Television WisdomTree India ETF for WisdomTree by Bandujo,1
Case Study Lead India for The Times Of India by  Wunderman Thompson South Asia,4
Case Study Stretch Festival for Governement Of Puducherry by Opinion e Imagen,3
Outdoor/Out of Home Building for Anando by McCann Mumbai,1
Radio Om Jai Jagdish for Cycle Agarbatti by Mudra Communications Pvt. Ltd.,3
Radio Jai Dev for Cycle Agarbatti by Mudra Communications Pvt. Ltd.,3
Case Study Bach Gavotte for Calcutta School Of Music by Ogilvy & Mather,0
Case Study Thin Cover for HP Notebook PC by Publicis India,1
Print Family Name for AADHAR by Contract Advertising,0
Print Eiffel Tower for Cox & Kings by Saatchi & Saatchi,0
Print London Bridge for Cox & Kings by Saatchi & Saatchi,0
Print Statue Of Liberty for Cox & Kings by Saatchi & Saatchi,0
Print Blue for Luxor by Leo Burnett India,1
Print Pink for Luxor by Leo Burnett India,1
Print Taj Mahal for Incredible India by Grey Group India,1
Print Ice Cream for Tide by Leo Burnett India,0
Print Ketchup for Tide by Leo Burnett India,0
Print Lipstick for Tide by Leo Burnett India,1
Print India for Shangri-La by AgÃªncia 3 - A trip can change your life,4
Digital Highlight What's Important for Luxor by Leo Burnett India,1
Digital Pop Up for Luxor by Leo Burnett India,1
Case Study Burden for Care Foundation by  Wunderman Thompson South Asia - Your contribution can end child labour,4
"Packaging, Branding & Design 50 Cent for Mw.Com India by  Wunderman Thompson South Asia",1
"Packaging, Branding & Design Bob Marley for Mw.Com India by  Wunderman Thompson South Asia",1
"Packaging, Branding & Design Jim Morrison for Mw.Com India by  Wunderman Thompson South Asia",1
"Packaging, Branding & Design Madonna for Mw.Com India by  Wunderman Thompson South Asia",4
"Television Teens for olympic.org by Sra. Rushmore - The film features young athletes from across the world, including Armenia, Belgium, Brazil, China, Egyp...",2
Television Rotate for CitiBank by AMBIENCE PUBLICIS ,4
Television Ghost for Hathi Cement,4
Television Castaway for Lenovo by Ogilvy India - lenovo.com,4
Magazine ACB: Money Envelope for ACB by RK Swamy BBDO,0
Print Drain 1 for Harpic by Havas India,0
Print Drain 2 for Harpic by Havas India,4
Print Drain 3 for Harpic by Havas India,0
Print Lamp Shade for Mihira by Ogilvy Bangalore,0
Print Lamp Post for Mihira by Ogilvy Bangalore,0
Print Side Lamp for Mihira by Ogilvy Bangalore,0
POP Display Harry Potter Magic Cup for Odel Books by Leo Burnett Solutions Inc.,3
Direct Mail The World of Dyslexia for Paediatrician Dr Mehul Doshi by Rediffusion-DY&R Ltd,0
Direct Marketing Cinderella for Asian Paints by Ogilvy India,1
Direct Marketing Help Me Read This for Children of the World by J. Walter Thompson Delhi,1
Magazine HCL Networking ad for HCL by Akriti Advertising & Communication,1
Print Luxury Skin Deep 1 for Podeam,4
Print Luxury Skin Deep 2 for Podeam,4
Print Luxury Skin Deep 3 for Podeam,4
Print Luxury Skin Deep 4 for Podeam,4
